sucursal,m2,posiciones,densidad_actual,densidad_benchmark,posiciones_potenciales,posiciones_recuperables,brecha_relativa
Copiapó,1098.0,348.0,0.31694,0.643293,706.335366,358.335366,1.029699
Chillán,720.0,216.0,0.3,0.643293,463.170732,247.170732,1.144309
Puerto Montt,735.0,260.0,0.353741,0.643293,472.820122,212.820122,0.818539
San Antonio,550.0,174.0,0.316364,0.643293,353.810976,179.810976,1.033396
Hijuelas,584.0,203.0,0.347603,0.643293,375.682927,172.682927,0.850655
Iquique,486.0,144.0,0.296296,0.643293,312.640244,168.640244,1.171113
Arica,352.0,94.0,0.267045,0.643293,226.439024,132.439024,1.408926
Calama,287.0,59.0,0.205575,0.643293,184.625,125.625,2.129237
Huechuraba,1057.0,562.0,0.531693,0.643293,679.960366,117.960366,0.209894
Osorno,427.0,190.0,0.444965,0.643293,274.685976,84.685976,0.445716
Los Ángeles,723.0,384.0,0.53112,0.643293,465.10061,81.10061,0.2112
Punta Arenas,560.0,283.0,0.505357,0.643293,360.243902,77.243902,0.272947
Coquimbo,1035.0,620.0,0.599034,0.643293,665.807927,45.807927,0.073884
Valdivia,336.0,196.0,0.583333,0.643293,216.146341,20.146341,0.102787
Antofagasta,1108.0,708.0,0.638989,0.643293,712.768293,4.768293,0.006735
Miraflores,2693.0,1864.0,0.692165,0.643293,1732.387195,0.0,0.0
Concepción,669.0,566.0,0.846039,0.643293,430.362805,0.0,0.0
Rancagua,840.0,600.0,0.714286,0.643293,540.365854,0.0,0.0
Temuco,656.0,422.0,0.643293,0.643293,422.0,0.0,0.0
Viña del Mar,680.0,547.0,0.804412,0.643293,437.439024,0.0,0.0
San Bernardo,3252.0,2860.0,0.879459,0.643293,2091.987805,0.0,0.0
