sucursal,doh_politica_ponderado,doh_fisico_total,rho_congelado,rho_refrigerado,rho_almacen_rigido,rho_almacen_flexible,rho_dotacion,rho_estructural,cuello_botella,elasticidad_doh_c,elasticidad_doh_r,derivada_rho_doh_c,derivada_rho_doh_r,m2_en_uso,dotacion_requerida,dotacion_norma_camara,dotacion_real,brecha_dotacion,kappa_estructural,doh_c_quiebre,doh_r_quiebre,desbalance_camara,densidad_pos_m2
Valdivia,2.173036,3.352124,3.718721,0.467641,3.718721,0.648257,0.672266,3.718721,almacenamiento congelado,0.318694,0.681306,0.056833,0.241485,217.81422,6.050395,9.333333,9.0,1.037037,0.26891,0.977515,3.910988,0.263139,0.583333
Calama,2.462095,1.346629,2.9984,1.415402,2.9984,1.82834,2.082276,2.9984,almacenamiento congelado,0.427796,0.572204,0.141474,0.601121,524.733553,14.575932,7.972222,7.0,1.138889,0.333511,1.843861,1.229605,0.166938,0.205575
Osorno,2.591903,2.586722,2.214173,0.844578,2.214173,1.002003,0.848919,2.214173,almacenamiento congelado,0.253994,0.746006,0.07365,0.312939,427.855248,11.884868,11.861111,14.0,0.847222,0.451636,1.560652,2.828207,0.139051,0.444965
Chillán,2.363804,1.377724,2.147339,1.594124,2.147339,1.715731,1.634029,2.147339,almacenamiento congelado,0.275114,0.724886,0.138281,0.587554,1235.32603,34.314612,20.0,21.0,0.952381,0.465693,1.589644,1.327849,0.055297,0.3
Arica,2.571798,2.357066,1.510408,0.928789,1.510408,1.091102,1.778091,1.778091,dotacion,0.386315,0.613685,0.080826,0.34343,384.067761,10.668549,9.777778,6.0,1.62963,0.562401,3.452711,2.099206,0.107246,0.267045
Iquique,2.550323,2.114343,1.63282,1.020715,1.63282,1.206201,1.628371,1.63282,almacenamiento congelado,0.410208,0.589792,0.090105,0.382855,586.213688,16.283714,13.5,10.0,1.35,0.612438,3.36308,1.820453,0.107178,0.296296
Puerto Montt,2.716078,2.119332,0.995549,1.414353,1.414353,1.281572,1.453635,1.453635,dotacion,0.246289,0.753711,0.089893,0.381954,941.955566,26.165432,20.416667,18.0,1.134259,0.687931,3.526956,1.788048,-0.070759,0.353741
Hijuelas,2.530464,2.003073,1.36415,1.230152,1.36415,1.263291,1.205493,1.36415,almacenamiento congelado,0.267057,0.732943,0.09511,0.404123,737.761857,20.493385,16.222222,17.0,0.954248,0.733057,2.600264,1.862525,0.019745,0.347603
Punta Arenas,4.743293,6.312817,0.544379,0.99287,0.99287,0.751375,1.298673,1.298673,dotacion,0.390121,0.609879,0.030179,0.128229,420.770003,11.688056,15.555556,9.0,1.728395,0.770017,17.842413,3.599326,-0.14834,0.505357
Los Ángeles,2.512657,3.416506,1.292093,0.635865,1.292093,0.735447,0.820568,1.292093,almacenamiento congelado,0.266605,0.733395,0.055762,0.236934,531.727893,14.770219,20.083333,18.0,1.115741,0.773938,2.72134,3.580113,0.114856,0.53112
Temuco,2.505227,2.13962,1.262924,1.137643,1.262924,1.170874,0.761998,1.262924,almacenamiento congelado,0.286106,0.713894,0.08904,0.378332,768.09362,21.335934,18.222222,28.0,0.650794,0.791813,2.979013,1.942069,0.020853,0.643293
Copiapó,2.714045,5.993009,0.263033,0.605535,0.605535,0.452868,1.255681,1.255681,dotacion,0.258892,0.741108,0.031789,0.135072,497.249558,13.812488,30.5,11.0,2.772727,0.796381,14.021726,4.10345,-0.186847,0.31694
San Antonio,2.69533,2.759345,1.195757,0.921944,1.195757,0.976801,1.065953,1.195757,almacenamiento congelado,0.245251,0.754749,0.069043,0.293362,537.240363,14.923343,15.277778,14.0,1.09127,0.83629,2.901724,2.725836,0.044908,0.316364
Huechuraba,2.38726,2.167877,0.904258,1.174892,1.174892,1.101197,0.646647,1.174892,almacenamiento refrigerado,0.223605,0.776395,0.08788,0.373401,1163.965167,32.332366,29.361111,50.0,0.587222,0.851142,3.098593,1.948833,-0.048699,0.531693
Antofagasta,3.028536,3.425012,0.797816,0.940395,0.940395,0.884241,0.850468,0.940395,almacenamiento refrigerado,0.355352,0.644648,0.055624,0.236346,979.738956,27.214971,30.777778,32.0,0.961806,1.063383,7.080508,2.564691,-0.038494,0.638989
Concepción,2.368659,2.964096,0.730742,0.824307,0.824307,0.799117,0.550009,0.824307,almacenamiento refrigerado,0.246195,0.753805,0.064274,0.273097,534.608967,14.850249,18.583333,27.0,0.688272,1.21314,4.18883,2.675855,-0.023036,0.846039
Rancagua,2.47611,3.428221,0.628077,0.758094,0.758094,0.722273,0.581139,0.758094,almacenamiento refrigerado,0.239579,0.760421,0.055572,0.236125,606.709095,16.85303,23.333333,29.0,0.804598,1.319098,4.957715,3.068254,-0.035931,0.714286
Viña del Mar,2.387009,3.691567,0.711095,0.628093,0.711095,0.646611,0.46976,0.711095,almacenamiento congelado,0.245357,0.754643,0.051608,0.21928,439.69578,12.213772,18.888889,26.0,0.726496,1.406281,4.323154,3.542923,0.02225,0.804412
Coquimbo,2.513173,4.712107,0.556962,0.525826,0.556962,0.533344,0.66668,0.66668,dotacion,0.252134,0.747866,0.040431,0.171789,552.010739,15.333632,28.75,23.0,1.25,1.499971,5.971782,4.415643,0.010692,0.599034
Miraflores,2.448709,5.355328,0.414716,0.472578,0.472578,0.457247,0.551687,0.551687,dotacion,0.240309,0.759691,0.035574,0.151155,1231.366498,34.204625,74.805556,62.0,1.206541,1.81262,7.447855,4.862852,-0.024645,0.692165
