sucursal,mix_instalado_implicito,mix_de_quiebre,mix_supuesto
Miraflores,0.211472,1.185334,0.190513
Antofagasta,0.217166,-0.105862,0.190513
Arica,0.126426,-0.161015,0.190513
Calama,0.099989,-0.244666,0.190513
Chillán,0.148731,-0.990508,0.190513
Concepción,0.209789,-0.485303,0.190513
Copiapó,0.35141,0.94378,0.190513
Coquimbo,0.181799,0.522647,0.190513
Hijuelas,0.175075,-0.86076,0.190513
Huechuraba,0.234179,-1.913091,0.190513
Iquique,0.128254,-0.159872,0.190513
Los Ángeles,0.103798,-0.171382,0.190513
Osorno,0.082377,-0.774142,0.190513
Puerto Montt,0.250575,-1.271055,0.190513
Punta Arenas,0.30033,0.039103,0.190513
Rancagua,0.221226,-0.323622,0.190513
San Antonio,0.153588,-0.884384,0.190513
Temuco,0.17492,-0.590375,0.190513
Valdivia,0.028745,0.108607,0.190513
Viña del Mar,0.172102,0.005751,0.190513
