sucursal,demanda_propia,demanda_aportada,demanda_efectiva,doh_politica_ponderado,doh_fisico_total,rho_congelado,rho_refrigerado,rho_estructural,rho_flex,camara_critica,m2_total,m2_uso,m2_libre,personas_total,personas_peak,m2_operacion,rho_operacional,estado,elasticidad_doh_c,elasticidad_doh_r,kappa_estructural,doh_c_quiebre,doh_r_quiebre,doh_pol_quiebre_operacional,desbalance_camara
Valdivia,816946.0,0.0,816946.0,2.173036,3.352124,3.718721,0.467641,3.718721,0.648257,congelado,336.0,217.81422,118.18578,9.0,3.6,129.6,1.096579,estructural y operacional,0.318694,0.681306,0.26891,0.977515,3.910988,2.059162,0.263139
Calama,612155.0,0.0,612155.0,2.462095,1.346629,2.9984,1.415402,2.9984,1.82834,congelado,287.0,524.733553,-237.733553,7.0,2.8,100.8,,saturacion estructural,0.427796,0.572204,0.333511,1.843861,1.229605,0.873667,0.166938
Osorno,1026269.0,0.0,1026269.0,2.591903,2.586722,2.214173,0.844578,2.214173,1.002003,congelado,427.0,427.855248,-0.855248,14.0,5.6,201.6,,saturacion estructural,0.253994,0.746006,0.451636,1.560652,2.828207,1.36545,0.139051
Chillán,2190528.0,0.0,2190528.0,2.363804,1.377724,2.147339,1.594124,2.147339,1.715731,congelado,720.0,1235.32603,-515.32603,21.0,8.4,302.4,,saturacion estructural,0.275114,0.724886,0.465693,1.589644,1.327849,0.79908,0.055297
Iquique,951578.0,0.0,951578.0,2.550323,2.114343,1.63282,1.020715,1.63282,1.206201,congelado,486.0,586.213688,-100.213688,10.0,4.0,144.0,,saturacion estructural,0.410208,0.589792,0.612438,3.36308,1.820453,1.487871,0.107178
Antofagasta,2888208.0,2120936.0,5009144.0,3.028536,1.974818,1.383688,1.630968,1.630968,1.533577,refrigerado,1108.0,1699.203628,-591.203628,32.0,12.8,460.8,,saturacion estructural,0.355352,0.644648,0.613133,4.08253,1.478768,1.153522,-0.038494
Arica,557203.0,0.0,557203.0,2.571798,2.357066,1.510408,0.928789,1.510408,1.091102,congelado,352.0,384.067761,-32.067761,6.0,2.4,86.4,,saturacion estructural,0.386315,0.613685,0.662073,3.452711,2.099206,1.778513,0.107246
Puerto Montt,1714082.0,0.0,1714082.0,2.716078,2.119332,0.995549,1.414353,1.414353,1.281572,refrigerado,735.0,941.955566,-206.955566,18.0,7.2,259.2,,saturacion estructural,0.246289,0.753711,0.707037,3.526956,1.788048,1.371943,-0.070759
Hijuelas,1415978.0,0.0,1415978.0,2.530464,2.003073,1.36415,1.230152,1.36415,1.263291,congelado,584.0,737.761857,-153.761857,17.0,6.8,244.8,,saturacion estructural,0.267057,0.732943,0.733057,2.600264,1.862525,1.163429,0.019745
Los Ángeles,1570386.0,0.0,1570386.0,2.512657,3.416506,1.292093,0.635865,1.292093,0.735447,congelado,723.0,531.727893,191.272107,18.0,7.2,259.2,1.355137,estructural y operacional,0.266605,0.733395,0.773938,2.72134,3.580113,2.191667,0.114856
Temuco,2755707.0,0.0,2755707.0,2.505227,2.13962,1.262924,1.137643,1.262924,1.170874,congelado,656.0,768.09362,-112.09362,28.0,11.2,403.2,,saturacion estructural,0.286106,0.713894,0.791813,2.979013,1.942069,0.824537,0.020853
San Antonio,881050.0,0.0,881050.0,2.69533,2.759345,1.195757,0.921944,1.195757,0.976801,congelado,550.0,537.240363,12.759637,14.0,5.6,201.6,15.799822,estructural y operacional,0.245251,0.754749,0.83629,2.901724,2.725836,1.74792,0.044908
Huechuraba,3622088.0,0.0,3622088.0,2.38726,2.167877,0.904258,1.174892,1.174892,1.101197,refrigerado,1057.0,1163.965167,-106.965167,50.0,20.0,720.0,,saturacion estructural,0.223605,0.776395,0.851142,3.098593,1.948833,0.691177,-0.048699
Punta Arenas,626355.0,0.0,626355.0,4.743293,6.312817,0.544379,0.99287,0.99287,0.751375,refrigerado,560.0,420.770003,139.229997,9.0,3.6,129.6,0.930834,sin saturacion,0.390121,0.609879,1.007181,17.842413,3.599326,4.851851,-0.14834
Concepción,2667973.0,0.0,2667973.0,2.368659,2.964096,0.730742,0.824307,0.824307,0.799117,refrigerado,669.0,534.608967,134.391033,27.0,10.8,388.8,2.89305,saturacion operacional,0.246195,0.753805,1.21314,4.18883,2.675855,1.241465,-0.023036
Rancagua,2445343.0,0.0,2445343.0,2.47611,3.428221,0.628077,0.758094,0.758094,0.722273,refrigerado,840.0,606.709095,233.290905,29.0,11.6,417.6,1.79004,saturacion operacional,0.239579,0.760421,1.319098,4.957715,3.068254,1.723905,-0.035931
Viña del Mar,2070303.0,0.0,2070303.0,2.387009,3.691567,0.711095,0.628093,0.711095,0.646611,congelado,680.0,439.69578,240.30422,26.0,10.4,374.4,1.558025,saturacion operacional,0.245357,0.754643,1.406281,4.323154,3.542923,1.659034,0.02225
Copiapó,811319.0,0.0,811319.0,2.714045,5.993009,0.263033,0.605535,0.605535,0.452868,refrigerado,1098.0,497.249558,600.750442,11.0,4.4,158.4,0.26367,sin saturacion,0.258892,0.741108,1.651432,14.021726,4.10345,5.128444,-0.186847
Coquimbo,1838374.0,0.0,1838374.0,2.513173,4.712107,0.556962,0.525826,0.556962,0.533344,congelado,1035.0,552.010739,482.989261,23.0,9.2,331.2,0.68573,sin saturacion,0.252134,0.747866,1.795454,5.971782,4.415643,3.204233,0.010692
Miraflores,4863144.0,0.0,4863144.0,2.448709,5.355328,0.414716,0.472578,0.472578,0.457247,refrigerado,2693.0,1231.366498,1461.633502,62.0,24.8,892.8,0.610823,sin saturacion,0.240309,0.759691,2.116054,7.447855,4.862852,3.579897,-0.024645
