sucursal,evaluable,escenario,mix_congelado,demanda_dia_kg,inv_objetivo_cong_kg,inv_objetivo_refr_kg,req_cong_kg,req_refr_kg,pos_req_cong,pos_req_refr,pos_req_total,pos_disp_cong,pos_disp_refr,pos_disp_total,rho_congelado,rho_refrigerado,rho_almacen_rigido,rho_almacen_flexible,valor_flexibilidad,hh_requeridas_mes,hh_disponibles_mes,rho_mano_obra,rho_binding,cuello_botella,rho_compuesto,clase,holgura_crecimiento,doh_politica_ponderado,doh_fisico_disponible,factor_politica,factor_operacion,rotaciones_mes,share_cong_instalado,share_cong_requerido,desbalance_camara,deficit_pos_cong,deficit_pos_refr,deficit_pos_neto,imputados
Valdivia,True,P0_politica,0.190513,26837.910644,18586.16785,39733.589432,18152.077988,38805.590261,39.547011,84.54377,124.09078,9.255556,157.344444,166.6,4.272786,0.537317,4.272786,0.744843,3.527944,1620.924603,1620.0,1.000571,4.272786,almacenamiento congelado,3.762413,desbordada,-0.765961,2.173036,3.353465,0.647997,1.148993,9.077178,0.055556,0.318694,0.263139,30.291455,0.0,0.0,[]
Calama,True,P0_politica,0.190513,20110.21682,21181.603536,28331.669421,20686.895889,27669.968172,45.06949,60.283155,105.352645,13.082041,37.067959,50.15,3.445142,1.626287,3.445142,2.100751,1.344392,1229.226908,1260.0,0.975577,3.445142,almacenamiento congelado,3.035354,desbordada,-0.709736,2.462095,1.336087,1.842766,1.148993,22.782947,0.260858,0.427796,0.166938,31.987449,23.215196,55.202645,[]
Osorno,True,P0_politica,0.190513,33714.487516,22195.170682,65189.504107,21676.790634,63666.968473,47.226123,138.707992,185.934116,18.563218,142.936782,161.5,2.54407,0.970415,2.54407,1.151295,1.392775,2546.573201,2520.0,1.010545,2.54407,almacenamiento congelado,2.248299,desbordada,-0.606929,2.591903,2.580493,1.004422,1.148993,11.796195,0.114943,0.253994,0.139051,28.662905,0.0,24.434116,[]
Chillán,True,P0_politica,0.190513,71962.155059,46798.178858,123306.215477,45705.182434,120426.333056,99.575561,262.366739,361.9423,40.358456,143.241544,183.6,2.467279,1.831639,2.467279,1.971363,0.495915,3836.301226,3780.0,1.014895,2.467279,almacenamiento congelado,2.181769,desbordada,-0.594695,2.363804,1.379711,1.713259,1.148993,22.062586,0.219817,0.275114,0.055297,59.217105,119.125194,178.3423,[]
Iquique,True,P0_politica,0.190513,31260.775296,32703.890881,47021.170639,31940.074069,45922.966123,69.586218,100.050035,169.636253,37.090909,85.309091,122.4,1.876099,1.172795,1.876099,1.385917,0.490182,1788.680451,1800.0,0.993711,1.876099,almacenamiento congelado,1.672423,desbordada,-0.466979,2.550323,2.111272,1.207955,1.148993,14.417848,0.30303,0.410208,0.107178,32.495309,14.740944,47.236253,[]
Arica,True,P0_politica,0.190513,18304.960578,18186.44233,28890.22705,17761.68827,28215.48039,38.696489,61.471635,100.168123,22.297674,57.602326,79.9,1.73545,1.067173,1.73545,1.253669,0.481781,1075.681467,1080.0,0.996001,1.73545,almacenamiento congelado,1.554288,desbordada,-0.42378,2.571798,2.34909,1.094806,1.148993,12.958209,0.27907,0.386315,0.107246,16.398814,3.869309,20.268123,[]
Puerto Montt,True,P0_politica,0.190513,56310.183968,37668.127201,115274.699041,36788.368002,112582.396969,80.14895,245.277553,325.426503,70.067658,150.932342,221.0,1.143879,1.625083,1.625083,1.472518,0.152565,3441.931727,3240.0,1.062325,1.625083,almacenamiento refrigerado,1.471928,desbordada,-0.384647,2.716078,2.118462,1.282099,1.148993,14.368913,0.317048,0.246289,-0.070759,10.081292,94.345211,104.426503,[]
Hijuelas,True,P0_politica,0.190513,46517.017083,31435.157643,86274.493918,30700.972772,84259.507103,66.886651,183.571911,250.458562,42.673656,129.876344,172.55,1.567399,1.413436,1.567399,1.451513,0.115886,3006.322718,3060.0,0.982458,1.567399,almacenamiento congelado,1.413683,desbordada,-0.362,2.530464,1.999268,1.265695,1.148993,15.22557,0.247312,0.267057,0.019745,24.212995,53.695567,77.908562,[]
Los Ángeles,True,P0_politica,0.190513,51589.553219,34559.125987,95067.750308,33751.97917,92847.392301,73.533724,202.2819,275.815624,49.530783,276.869217,326.4,1.484607,0.730605,1.484607,0.845023,0.639583,3271.6375,3240.0,1.009765,1.484607,almacenamiento congelado,1.35092,desbordada,-0.326421,2.512657,3.42013,0.734667,1.148993,8.900245,0.151749,0.266605,0.114856,24.00294,0.0,0.0,[]
Temuco,True,P0_politica,0.190513,90529.13929,64887.698305,161908.335142,63372.211506,158126.87963,138.06582,344.503006,482.568826,95.146178,263.553822,358.7,1.451092,1.307145,1.451092,1.345327,0.105765,5093.728281,5040.0,1.01066,1.451092,almacenamiento congelado,1.324507,desbordada,-0.310864,2.505227,2.139123,1.171147,1.148993,14.230128,0.265253,0.286106,0.020853,42.919642,80.949184,123.868826,[]
