sucursal,evaluable,escenario,mix_congelado,demanda_dia_kg,inv_objetivo_cong_kg,inv_objetivo_refr_kg,req_cong_kg,req_refr_kg,pos_req_cong,pos_req_refr,pos_req_total,pos_disp_cong,pos_disp_refr,pos_disp_total,rho_congelado,rho_refrigerado,rho_almacen_rigido,rho_almacen_flexible,valor_flexibilidad,hh_requeridas_mes,hh_disponibles_mes,rho_mano_obra,rho_binding,cuello_botella,rho_compuesto,clase,holgura_crecimiento,doh_politica_ponderado,doh_fisico_disponible,factor_politica,factor_operacion,rotaciones_mes,share_cong_instalado,share_cong_requerido,desbalance_camara,deficit_pos_cong,deficit_pos_refr,deficit_pos_neto,imputados
Valdivia,True,P1_operativo,0.190513,26837.910644,18586.16785,39733.589432,26150.633172,55904.935877,56.973057,121.797246,178.770303,9.255556,157.344444,166.6,6.155552,0.77408,6.155552,1.073051,5.082501,1620.924603,1620.0,1.000571,6.155552,almacenamiento congelado,5.418204,desbordada,-0.837545,2.173036,3.353465,0.647997,1.655287,9.077178,0.055556,0.318694,0.263139,47.717501,0.0,12.170303,[]
Calama,True,P1_operativo,0.190513,20110.21682,21181.603536,28331.669421,29802.39652,39862.49883,64.928968,86.846403,151.775371,13.082041,37.067959,50.15,4.963214,2.342897,4.963214,3.026428,1.936786,1229.226908,1260.0,0.975577,4.963214,almacenamiento congelado,4.369269,desbordada,-0.798518,2.462095,1.336087,1.842766,1.655287,22.782947,0.260858,0.427796,0.166938,51.846928,49.778443,101.625371,[]
Osorno,True,P1_operativo,0.190513,33714.487516,22195.170682,65189.504107,31228.47977,91721.264025,68.035904,199.828462,267.864366,18.563218,142.936782,161.5,3.665092,1.39802,3.665092,1.658603,2.006489,2546.573201,2520.0,1.010545,3.665092,almacenamiento congelado,3.228793,desbordada,-0.727156,2.591903,2.580493,1.004422,1.655287,11.796195,0.114943,0.253994,0.139051,49.472685,56.89168,106.364366,[]
Chillán,True,P1_operativo,0.190513,71962.155059,46798.178858,123306.215477,65844.773292,173491.148623,143.452665,377.976359,521.429024,40.358456,143.241544,183.6,3.554464,2.638734,3.554464,2.840027,0.714436,3836.301226,3780.0,1.014895,3.554464,almacenamiento congelado,3.131785,desbordada,-0.718664,2.363804,1.379711,1.713259,1.655287,22.062586,0.219817,0.275114,0.055297,103.094209,234.734814,337.829024,[]
Iquique,True,P1_operativo,0.190513,31260.775296,32703.890881,47021.170639,46014.189727,66158.521468,100.248779,144.136212,244.384992,37.090909,85.309091,122.4,2.702786,1.689576,2.702786,1.996609,0.706176,1788.680451,1800.0,0.993711,2.702786,almacenamiento congelado,2.385965,desbordada,-0.630011,2.550323,2.111272,1.207955,1.655287,14.417848,0.30303,0.410208,0.107178,63.15787,58.827121,121.984992,[]
Arica,True,P1_operativo,0.190513,18304.960578,18186.44233,28890.22705,25588.221623,40648.386259,55.74776,88.558576,144.306335,22.297674,57.602326,79.9,2.50016,1.537413,2.50016,1.806087,0.694073,1075.681467,1080.0,0.996001,2.50016,almacenamiento congelado,2.2096,desbordada,-0.600026,2.571798,2.34909,1.094806,1.655287,12.958209,0.27907,0.386315,0.107246,33.450085,30.95625,64.406335,[]
Puerto Montt,True,P1_operativo,0.190513,56310.183968,37668.127201,115274.699041,52998.842186,162190.850367,115.465887,353.356972,468.82286,70.067658,150.932342,221.0,1.64792,2.341161,2.341161,2.12137,0.219791,3441.931727,3240.0,1.062325,2.341161,almacenamiento refrigerado,2.07489,desbordada,-0.572862,2.716078,2.118462,1.282099,1.655287,14.368913,0.317048,0.246289,-0.070759,45.398229,202.424631,247.82286,[]
Hijuelas,True,P1_operativo,0.190513,46517.017083,31435.157643,86274.493918,44229.089227,121387.725581,96.359672,264.461276,360.820947,42.673656,129.876344,172.55,2.25806,2.036254,2.25806,2.09111,0.16695,3006.322718,3060.0,0.982458,2.25806,almacenamiento congelado,1.99911,desbordada,-0.557142,2.530464,1.999268,1.265695,1.655287,15.22557,0.247312,0.267057,0.019745,53.686016,134.584932,188.270947,[]
Los Ángeles,True,P1_operativo,0.190513,51589.553219,34559.125987,95067.750308,48624.495041,133759.787648,105.935719,291.415659,397.351378,49.530783,276.869217,326.4,2.138785,1.052539,2.138785,1.217376,0.92141,3271.6375,3240.0,1.009765,2.138785,almacenamiento congelado,1.897767,desbordada,-0.532445,2.512657,3.42013,0.734667,1.655287,8.900245,0.151749,0.266605,0.114856,56.404936,14.546443,70.951378,[]
Temuco,True,P1_operativo,0.190513,90529.13929,64887.698305,161908.335142,91296.624966,227804.11293,198.903322,496.305257,695.208579,95.146178,263.553822,358.7,2.090502,1.883127,2.090502,1.938134,0.152369,5093.728281,5040.0,1.01066,2.090502,almacenamiento congelado,1.856403,desbordada,-0.521646,2.505227,2.139123,1.171147,1.655287,14.230128,0.265253,0.286106,0.020853,103.757144,232.751435,336.508579,[]
San Antonio,True,P1_operativo,0.190513,28943.823916,19132.836453,58880.325006,26919.792808,82844.28467,58.648786,180.488638,239.137424,29.630743,118.269257,147.9,1.979322,1.526082,1.979322,1.616886,0.362436,2591.323529,2520.0,1.028303,1.979322,almacenamiento congelado,1.762801,desbordada,-0.494777,2.69533,2.759241,0.976837,1.655287,11.032017,0.200343,0.245251,0.044908,29.018043,62.21938,91.237424,[]
Huechuraba,True,P1_operativo,0.190513,118991.064389,63517.810156,220544.750391,89369.200079,310305.217948,194.70414,676.046226,870.750366,130.079674,347.620326,477.7,1.496807,1.944783,1.944783,1.822798,0.121986,11283.76324,9000.0,1.253751,1.944783,almacenamiento refrigerado,1.758906,desbordada,-0.485804,2.38726,2.166549,1.101872,1.655287,14.049992,0.272304,0.223605,-0.048699,64.624465,328.425901,393.050366,[]
