sucursal,evaluable,escenario,mix_congelado,demanda_dia_kg,inv_objetivo_cong_kg,inv_objetivo_refr_kg,req_cong_kg,req_refr_kg,pos_req_cong,pos_req_refr,pos_req_total,pos_disp_cong,pos_disp_refr,pos_disp_total,rho_congelado,rho_refrigerado,rho_almacen_rigido,rho_almacen_flexible,valor_flexibilidad,hh_requeridas_mes,hh_disponibles_mes,rho_mano_obra,rho_binding,cuello_botella,rho_compuesto,clase,holgura_crecimiento,doh_politica_ponderado,doh_fisico_disponible,factor_politica,factor_operacion,rotaciones_mes,share_cong_instalado,share_cong_requerido,desbalance_camara,deficit_pos_cong,deficit_pos_refr,deficit_pos_neto,imputados
Valdivia,True,P2_peak,0.190513,26837.910644,18586.16785,39733.589432,33742.21381,72134.249558,73.512448,157.155228,230.667676,9.255556,157.344444,166.6,7.942521,0.998797,7.942521,1.38456,6.557962,1620.924603,1620.0,1.000571,7.942521,almacenamiento congelado,6.9906,desbordada,-0.874095,2.173036,3.353465,0.647997,2.135821,9.077178,0.055556,0.318694,0.263139,64.256893,0.0,64.067676,[]
Calama,True,P2_peak,0.190513,20110.21682,21181.603536,28331.669421,38454.091295,51434.661243,83.777977,112.058085,195.836062,13.082041,37.067959,50.15,6.404045,3.023044,6.404045,3.905006,2.499039,1229.226908,1260.0,0.975577,6.404045,almacenamiento congelado,5.636781,desbordada,-0.843849,2.462095,1.336087,1.842766,2.135821,22.782947,0.260858,0.427796,0.166938,70.695936,74.990126,145.686062,[]
Osorno,True,P2_peak,0.190513,33714.487516,22195.170682,65189.504107,40294.169337,118348.12875,87.786861,257.83906,345.625922,18.563218,142.936782,161.5,4.729076,1.803868,4.729076,2.140099,2.588977,2546.573201,2520.0,1.010545,4.729076,almacenamiento congelado,4.16356,desbordada,-0.788542,2.591903,2.580493,1.004422,2.135821,11.796195,0.114943,0.253994,0.139051,69.223643,114.902279,184.125922,[]
Chillán,True,P2_peak,0.190513,71962.155059,46798.178858,123306.215477,84959.641474,223855.972905,185.097258,487.703645,672.800903,40.358456,143.241544,183.6,4.586332,3.404764,4.586332,3.664493,0.921839,3836.301226,3780.0,1.014895,4.586332,almacenamiento congelado,4.038096,desbordada,-0.781961,2.363804,1.379711,1.713259,2.135821,22.062586,0.219817,0.275114,0.055297,144.738802,344.4621,489.200903,[]
Iquique,True,P2_peak,0.190513,31260.775296,32703.890881,47021.170639,59372.200198,85364.471368,129.351199,185.97924,315.330439,37.090909,85.309091,122.4,3.48741,2.180064,3.48741,2.576229,0.911181,1788.680451,1800.0,0.993711,3.48741,almacenamiento congelado,3.072677,desbordada,-0.713254,2.550323,2.111272,1.207955,2.135821,14.417848,0.30303,0.410208,0.107178,92.26029,100.67015,192.930439,[]
Arica,True,P2_peak,0.190513,18304.960578,18186.44233,28890.22705,33016.533073,52448.69335,71.931445,114.267306,186.19875,22.297674,57.602326,79.9,3.225962,1.983727,3.225962,2.330397,0.895564,1075.681467,1080.0,0.996001,3.225962,almacenamiento congelado,2.843497,desbordada,-0.690015,2.571798,2.34909,1.094806,2.135821,12.958209,0.27907,0.386315,0.107246,49.63377,56.66498,106.29875,[]
Puerto Montt,True,P2_peak,0.190513,56310.183968,37668.127201,115274.699041,68384.511109,209275.175669,148.985863,455.937202,604.923065,70.067658,150.932342,221.0,2.126314,3.020805,3.020805,2.737208,0.283597,3441.931727,3240.0,1.062325,3.020805,almacenamiento refrigerado,2.665397,desbordada,-0.668962,2.716078,2.118462,1.282099,2.135821,14.368913,0.317048,0.246289,-0.070759,78.918205,305.00486,383.923065,[]
Hijuelas,True,P2_peak,0.190513,46517.017083,31435.157643,86274.493918,57068.881486,156626.822891,124.333075,341.234908,465.567983,42.673656,129.876344,172.55,2.913579,2.627383,2.913579,2.698163,0.215416,3006.322718,3060.0,0.982458,2.913579,almacenamiento congelado,2.569783,desbordada,-0.65678,2.530464,1.999268,1.265695,2.135821,15.22557,0.247312,0.267057,0.019745,81.659419,211.358564,293.017983,[]
Los Ángeles,True,P2_peak,0.190513,51589.553219,34559.125987,95067.750308,62740.282318,172590.519097,136.689068,376.014203,512.703271,49.530783,276.869217,326.4,2.759679,1.358093,2.759679,1.570782,1.188897,3271.6375,3240.0,1.009765,2.759679,almacenamiento congelado,2.43605,desbordada,-0.637639,2.512657,3.42013,0.734667,2.135821,8.900245,0.151749,0.266605,0.114856,87.158285,99.144986,186.303271,[]
Temuco,True,P2_peak,0.190513,90529.13929,64887.698305,161908.335142,117800.216131,293936.098391,256.645351,640.383657,897.029008,95.146178,263.553822,358.7,2.697379,2.429802,2.697379,2.500778,0.196602,5093.728281,5040.0,1.01066,2.697379,almacenamiento congelado,2.381755,desbordada,-0.62927,2.505227,2.139123,1.171147,2.135821,14.230128,0.265253,0.286106,0.020853,161.499173,376.829835,538.329008,[]
